accession	phylum	class	species
GB_GCA_034190465	Nanohalarchaeota	Nanosalinia	Asbonarchaeum danakilense
GB_GCA_018828985	Nanobdellota	Nanobdellia	ASMP01 sp018821425
GB_GCA_018830685	Nanobdellota	Nanobdellia	ASMP01 sp018830685
GB_GCA_027334715	Nanobdellota	Nanobdellia	ASMP01 sp027334715
GB_GCA_035282925	Nanobdellota	Nanobdellia	ASMP01 sp035282925
GB_GCA_038045525	Nanobdellota	Nanobdellia	ASMP01 sp038045525
GB_GCA_041484115	Nanobdellota	Nanobdellia	ASMP01 sp041484115
GB_GCA_021158125	Thermoproteota	Bathyarchaeia	AUK093 sp021158125
GB_GCA_040290255	Thermoproteota	Nitrososphaeria	Australarchaeum erebusense
GB_GCA_937906075	Thermoproteota	Thermoprotei	B12-G16 sp003650925
GB_GCA_003661385	Korarchaeota	Korarchaeia	B14-G2 sp003661385
GB_GCA_037917675	Korarchaeota	Korarchaeia	B14-G2 sp037917675
GB_GCA_937880935	Thermoproteota	Thermoprotei	B15-G16 sp003649205
GB_GCA_003649305	Thermoproteota	Thermoprotei	B15-G2 sp003650815
GB_GCA_937880785	Thermoproteota	Thermoprotei	B17-G15 sp003649495
GB_GCA_001563875	Nanohalarchaeota	Nanosalinia	B1-Br10-U2g19 sp001563875
GB_GCA_022729395	Nanohalarchaeota	Nanosalinia	B1-Br10-U2g19 sp001563905
GB_GCA_001563915	Nanohalarchaeota	Nanosalinia	B1-Br10-U2g21 sp001563915
GB_GCA_022729375	Nanohalarchaeota	Nanosalinia	B1-Br10-U2g21 sp001564145
GB_GCA_003650785	Thermoproteota	Thermoprotei	B20-G17 sp003650785
GB_GCA_021161045	Thermoproteota	Bathyarchaeia	B23 sp021161045
GB_GCA_937898665	Thermoproteota	Bathyarchaeia	B23 sp937898665
GB_GCA_002490245	Thermoproteota	Bathyarchaeia	B24-2 sp002490245
GB_GCA_001593865	Thermoproteota	Bathyarchaeia	B24 sp001593865
GB_GCA_021161255	Thermoproteota	Bathyarchaeia	B24 sp021161255
GB_GCA_001593935	Thermoproteota	Bathyarchaeia	B26-1 sp001593935
